"Building_Class","Zoning_Class","Lot_Extent","Lot_Size","Road_Type","Lane_Type","Property_Shape","Land_Outline","Lot_Configuration","Property_Slope","Neighborhood","Condition1","Condition2","House_Type","House_Design","Overall_Material","House_Condition","Construction_Year","Roof_Design","Roof_Quality","Exterior1st","Exterior2nd","Brick_Veneer_Type","Brick_Veneer_Area","Exterior_Material","Exterior_Condition","Foundation_Type","Basement_Height","Basement_Condition","Exposure_Level","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtUnfSF","Total_Basement_Area","Heating_Type","Heating_Quality","Air_Conditioning","Electrical_System","First_Floor_Area","Second_Floor_Area","LowQualFinSF","Grade_Living_Area","Underground_Full_Bathroom","Underground_Half_Bathroom","Full_Bathroom_Above_Grade","Half_Bathroom_Above_Grade","Bedroom_Above_Grade","Kitchen_Quality","Rooms_Above_Grade","Functional_Rate","Fireplaces","Fireplace_Quality","Garage","Garage_Built_Year","Garage_Finish","Garage_Size","Garage_Quality","Pavedd_Drive","W_Deck_Area","Open_Lobby_Area","Enclosed_Lobby_Area","Three_Season_Lobby_Area","Screen_Lobby_Area","Pool_Area","Pool_Quality","Fence_Quality","Miscellaneous_Feature","Miscellaneous_Value","Month_Sold","Year_Sold","Sale_Type","Sale_Condition","Sale_Price"
20,"RHD",80,16104.81976,1,"None",0,"Lvl","I",0,"NAmes","Feedr","Norm","1Fam","1Story",5,6,1961,"Gable","SS","VinylSd","VinylSd",0,0,3,3,"CB",3,3,1,3,468,2,270,882,"GasA",3,1,"SBrkr",896,0,0,896,0,0,1,0,2,3,5,10,0,0,"Attchd",1961,1,1,3,2,140,0,0,0,120,0,0,"MnPrv","None",0,6,2010,"WD","Normal",125807.8138
20,"RLD",81,15639.15081,1,"None",1,"Lvl","C",0,"NAmes","Norm","Norm","1Fam","1Story",6,6,1958,"Hip","SS","Wd Sdng","Wd Sdng",1,108,3,3,"CB",3,3,1,5,923,1,406,1329,"GasA",3,1,"SBrkr",1329,0,0,1329,0,0,1,1,3,4,6,10,0,0,"Attchd",1958,1,1,3,2,393,36,0,0,0,0,0,"None","Gar2",12500,6,2010,"WD","Normal",155532.1119
60,"RLD",74,3849.42892,1,"None",1,"Lvl","I",0,"Gilbert","Norm","Norm","1Fam","2Story",5,5,1997,"Gable","SS","VinylSd","VinylSd",0,0,3,3,"PC",4,3,1,6,791,1,137,928,"GasA",4,1,"SBrkr",928,701,0,1629,0,0,2,1,3,3,6,10,1,3,"Attchd",1997,3,2,3,2,212,34,0,0,0,0,0,"MnPrv","None",0,3,2010,"WD","Normal",177346.612166667
60,"RLD",78,4955.447942,1,"None",1,"Lvl","I",0,"Gilbert","Norm","Norm","1Fam","2Story",6,6,1998,"Gable","SS","VinylSd","VinylSd",1,20,3,3,"PC",3,3,1,6,602,1,324,926,"GasA",5,1,"SBrkr",926,678,0,1604,0,0,2,1,3,4,7,10,1,4,"Attchd",1998,3,2,3,2,360,36,0,0,0,0,0,"None","None",0,6,2010,"WD","Normal",184063.907066667
120,"RLD",43,3046.604942,1,"None",1,"HLS","I",0,"StoneBr","Norm","Norm","TwnhsE","1Story",8,5,1992,"Gable","SS","HdBoard","HdBoard",0,0,4,3,"PC",4,3,1,5,263,1,1017,1280,"GasA",5,1,"SBrkr",1280,0,0,1280,0,0,2,0,2,4,5,10,0,0,"Attchd",1992,2,2,3,2,0,82,0,0,144,0,0,"None","None",0,1,2010,"WD","Normal",189084.7202
60,"RLD",75,10194.7212,1,"None",1,"Lvl","C",0,"Gilbert","Norm","Norm","1Fam","2Story",6,5,1993,"Gable","SS","HdBoard","HdBoard",0,0,3,3,"PC",4,3,1,1,0,1,763,763,"GasA",4,1,"SBrkr",763,892,0,1655,0,0,2,1,3,3,7,10,1,3,"Attchd",1993,3,2,3,2,157,84,0,0,0,0,0,"None","None",0,4,2010,"WD","Normal",183190.052766667
20,"RLD",64,15033.33814,1,"None",1,"Lvl","I",0,"Gilbert","Norm","Norm","1Fam","1Story",6,7,1992,"Gable","SS","HdBoard","HdBoard",0,0,3,4,"PC",4,3,1,5,935,1,233,1168,"GasA",5,1,"SBrkr",1187,0,0,1187,1,0,2,0,3,3,6,10,0,0,"Attchd",1992,3,2,3,2,483,21,0,0,0,0,0,"GdPrv","Shed",500,3,2010,"WD","Normal",171822.448433333
60,"RLD",63,12975.12311,1,"None",1,"Lvl","I",0,"Gilbert","Norm","Norm","1Fam","2Story",6,5,1998,"Gable","SS","VinylSd","VinylSd",0,0,3,3,"PC",4,3,1,1,0,1,789,789,"GasA",4,1,"SBrkr",789,676,0,1465,0,0,2,1,3,3,7,10,1,4,"Attchd",1998,3,2,3,2,0,75,0,0,0,0,0,"None","None",0,5,2010,"WD","Normal",175230.105833333
20,"RLD",85,22272.58865,1,"None",0,"Lvl","I",0,"Gilbert","Norm","Norm","1Fam","1Story",7,5,1990,"Gable","SS","HdBoard","HdBoard",0,0,3,3,"PC",4,3,4,6,637,1,663,1300,"GasA",4,1,"SBrkr",1341,0,0,1341,1,0,1,1,2,4,5,10,1,1,"Attchd",1990,1,2,3,2,192,0,0,0,0,0,0,"None","None",0,2,2010,"WD","Normal",181819.153766667
20,"RLD",70,11464.16712,1,"None",0,"Lvl","C",0,"NAmes","Norm","Norm","1Fam","1Story",4,5,1970,"Gable","SS","Plywood","Plywood",0,0,3,3,"CB",3,3,1,5,804,3,0,882,"GasA",3,1,"SBrkr",882,0,0,882,1,0,1,0,2,3,4,10,0,0,"Attchd",1970,3,2,3,2,240,0,0,0,0,0,0,"MnPrv","None",0,4,2010,"WD","Normal",128337.548533333
